emtak2008,emtak2025,note
59111,59111,
59112,59112,
5912,5912,
59121,59121,
5913,5913,
59131,59131,
5914,5914,
59141,59141,
592,592,
5920,5920,
59201,59201,
59201,59202,
59201,59209,
60,60,
60,61,
601,601,
6010,6010,
60101,60101,
602,602,
602,611,
6020,6020,
6020,6110,
60201,60201,
60202,61101,
61,61,
611,611,
611,619,
6110,6110,
6110,6190,
61101,61101,
61109,61901,
612,611,
612,619,
6120,6110,
6120,6190,
61201,61101,
61201,61901,
61209,61901,
613,611,
6130,6110,
61301,61101,
619,612,
619,619,
6190,6120,
6190,6190,
61901,61201,
61901,61901,
62,62,
620,621,
620,622,
620,629,
6201,6210,
62011,62101,
6202,6220,
62021,62201,
6203,6220,
62031,62202,
6209,6290,
62091,62901,
63,60,
63,63,
631,602,
631,603,
631,631,
631,639,
6311,6020,
6311,6039,
6311,6310,
63111,60201,
63111,60391,
63111,63101,
63111,63102,
6312,6039,
6312,6391,
63121,60391,
63121,63911,
639,603,
639,639,
6391,6031,
63911,60311,
6399,6392,
63991,63921,
64,64,
641,641,
6411,6411,
64111,64111,
6419,6419,
64191,64191,
642,642,
6420,6421,
6420,6422,
64201,64211,
64201,64221,
643,643,
6430,6431,
6430,6432,
64301,64311,
64301,64321,
649,642,
649,649,
6491,6491,
64911,64911,
6492,6492,
64921,64921,
64929,64929,
6499,6422,
6499,6492,
6499,6499,
64991,64221,
64991,64929,
64991,64991,
65,65,
651,651,
6511,6511,
65111,65111,
6512,6512,
65121,65121,
652,652,
6520,6520,
65201,65201,
653,653,
6530,6530,
65301,65301,
66,66,
661,661,
661,663,
6611,6611,
66111,66111,
6612,6612,
66121,66121,
66129,66122,
6619,6619,
6619,6630,
66191,66191,
66199,66199,
66199,66301,
662,662,
6621,6621,
66211,66211,
6622,6622,
66221,66221,
66221,66222,
6629,6629,
66291,66291,
663,663,
6630,6630,
66301,66301,
68,55,
68,68,
681,681,
6810,6811,
68101,68111,
682,559,
682,682,
6820,5590,
6820,6820,
68201,55901,
68201,68201,
683,683,
6831,6831,
6831,6832,
68311,68311,
68311,68321,
6832,6832,
68321,68321,
68322,68322,
68329,68329,
69,69,
691,691,
6910,6910,
69101,69101,
69102,69102,
69103,69103,
69109,69109,
692,692,
6920,6920,
69201,69201,
69202,69202,
70,70,
70,73,
701,701,
7010,7010,
70101,70101,
702,702,
702,733,
7021,7330,
70211,73301,
7022,7020,
70221,70201,
71,71,
711,711,
7111,7111,
71111,71111,
7112,7112,
71121,71121,
71122,71122,
71129,71129,
712,712,
7120,7120,
71201,71201,
71209,71209,
72,72,
721,721,
7211,7210,
72111,72101,
7219,7210,
72191,72101,
722,722,
7220,7220,
72201,72201,
73,73,
731,731,
7311,7311,
73111,73111,
7312,7312,
73121,73121,
732,732,
7320,7320,
73201,73201,
74,18,
74,74,
74,80,
741,741,
7410,7411,
7410,7412,
7410,7413,
7410,7414,
74101,74111,
74101,74121,
74101,74131,
74101,74141,
742,181,
742,742,
7420,1812,
7420,7420,
74201,18129,
74201,74201,
743,743,
7430,7430,
74301,74301,
749,749,
749,800,
7490,7491,
7490,7499,
7490,8009,
74901,74911,
74901,74991,
74901,80091,
75,75,
750,750,
7500,7500,
75001,75001,
77,77,
771,771,
7711,7711,
77111,77111,
7712,7711,
7712,7712,
77121,77111,
77121,77121,
772,772,
7721,7721,
77211,77211,
7722,7722,
77221,77221,
7729,7722,
77291,77221,
773,771,
773,773,
7731,7731,
77311,77311,
7732,7732,
77321,77321,
7733,7733,
77331,77331,
7734,7734,
77341,77341,
7735,7735,
77351,77351,
7739,7711,
7739,7712,
7739,7739,
77391,77391,
77399,77111,
77399,77121,
77399,77399,
774,774,
7740,7740,
77401,77401,
78,78,
781,781,
7810,7810,
78101,78101,
782,782,
7820,7820,
78201,78201,
783,782,
7830,7820,
78301,78209,
79,52,
79,55,
79,56,
79,77,
79,79,
79,82,
791,523,
791,554,
791,775,
791,791,
7911,5232,
7911,5540,
7911,7751,
7911,7911,
79111,52321,
79111,55401,
79111,77511,
79111,79111,
7912,7912,
79121,79121,
799,523,
799,554,
799,564,
799,775,
799,799,
799,824,
7990,5232,
7990,5540,
7990,5640,
7990,7751,
7990,7990,
7990,8240,
79901,52321,
79901,55401,
79901,56401,
79901,77511,
79901,79901,
79901,82401,
80,80,
801,800,
8010,8001,
80101,80011,
802,800,
8020,8009,
80201,80091,
803,800,
8030,8001,
80301,80011,
81,81,
81,96,
811,811,
8110,8110,
81101,81101,
812,812,
812,969,
8121,8121,
8121,9691,
81211,81211,
81211,96911,
8122,8122,
81221,81221,
8129,8123,
81291,81231,
813,813,
8130,8130,
81301,81301,
82,18,
82,43,
82,46,
82,47,
82,53,
82,61,
82,77,
82,82,
82,85,
82,86,
82,87,
82,93,
82,95,
82,96,
821,181,
821,821,
8211,8210,
82111,82101,
8219,1812,
8219,8210,
82191,18129,
82191,82101,
822,822,
8220,8220,
82201,82201,
823,823,
823,855,
823,932,
8230,8230,
8230,8559,
8230,9329,
82301,82301,
82301,85599,
82301,93291,
829,436,
829,461,
829,479,
829,533,
829,612,
829,775,
829,824,
829,829,
829,856,
829,869,
829,879,
829,954,
829,964,
8291,8291,
82911,82911,
8292,8292,
82921,82921,
8299,4360,
8299,4611,
8299,4612,
8299,4613,
8299,4614,
8299,4615,
8299,4616,
8299,4617,
8299,4618,
8299,4619,
8299,4791,
8299,4792,
8299,5330,
8299,6120,
8299,7751,
8299,7752,
8299,8240,
8299,8291,
8299,8299,
8299,8561,
8299,8697,
8299,8791,
8299,9540,
8299,9640,
82991,43601,
82991,46111,
82991,46121,
82991,46131,
82991,46141,
82991,46151,
82991,46161,
82991,46171,
82991,46181,
82991,46191,
82991,47911,
82991,47921,
82991,53301,
82991,61201,
82991,77511,
82991,77521,
82991,82401,
82991,82911,
82991,82991,
82991,85611,
82991,86971,
82991,87911,
82991,95401,
82991,96401,
84,84,
841,841,
8411,8411,
84111,84111,
84112,84112,
84113,84113,
84114,84114,
84119,84119,
8412,8412,
84121,84121,
84122,84122,
84123,84123,
84124,84124,
84125,84125,
8413,8413,
84131,84131,
84132,84132,
84139,84139,
842,842,
8421,8421,
84211,84211,
8422,8422,
84221,84221,
8423,8423,
84231,84231,
84232,84232,
84239,84239,
8424,8424,
84241,84241,
84242,84242,
84249,84249,
8425,8425,
84251,84251,
843,843,
8430,8430,
84301,84301,
85,85,
85,93,
851,851,
8510,8510,
85101,85101,
85102,85102,
852,852,
8520,8520,
85201,85201,
85202,85202,
853,853,
8531,8531,
85311,85311,
85312,85312,
85313,85313,
85313,85314,
8532,8532,
85321,85321,
854,853,
854,854,
8541,8533,
8541,8540,
85411,85331,
85411,85401,
8542,8540,
85421,85402,
855,855,
855,931,
8551,8551,
8551,9313,
85511,85511,
85519,85519,
85519,93131,
8552,8552,
85521,85521,
85522,85522,
85529,85529,
8553,8553,
85531,85531,
8559,8559,
85591,85591,
85592,85592,
85599,85593,
85599,85599,
856,856,
8560,8569,
85601,85691,
85601,85699,
86,85,
86,86,
861,861,
8610,8610,
86101,86101,
862,862,
8621,8621,
86211,86211,
8622,8622,
86221,86221,
8623,8623,
86231,86231,
869,855,
869,869,
8690,8551,
8690,8691,
8690,8692,
8690,8693,
8690,8694,
8690,8695,
8690,8696,
8690,8699,
86901,86921,
86902,86991,
86903,86941,
86904,86942,
86905,86951,
86906,86911,
86909,85519,
86909,86931,
86909,86961,
86909,86992,
87,87,
871,871,
8710,8710,
87101,87101,
872,872,
8720,8720,
87201,87201,
87202,87202,
873,873,
8730,8730,
87301,87301,
879,879,
8790,8799,
87901,87991,
87909,87999,
88,85,
88,88,
881,881,
8810,8810,
88101,88101,
889,851,
889,889,
8891,8510,
8891,8891,
88911,85101,
88911,88911,
8899,8899,
88991,88991,
90,90,
90,91,
90,94,
900,901,
900,902,
900,903,
900,913,
900,949,
9001,9011,
9001,9020,
9001,9499,
90011,90201,
90011,94995,
90012,90112,
90012,90202,
90012,90209,
9002,9039,
90021,90391,
90021,90399,
9003,9011,
9003,9012,
9003,9013,
9003,9130,
90031,90111,
90031,90121,
90031,90131,
90031,91301,
9004,9031,
90041,90311,
91,91,
910,911,
910,912,
910,914,
9101,9111,
9101,9112,
91011,91111,
91012,91121,
9102,9121,
91021,91211,
9103,9122,
91031,91221,
9104,9141,
9104,9142,
91041,91411,
91042,91421,
92,92,
920,920,
9200,9200,
92001,92001,
93,84,
93,93,
931,931,
931,932,
9311,9311,
9311,9312,
9311,9329,
93111,93111,
93111,93121,
93111,93291,
9312,9312,
93121,93121,
93122,93122,
9313,9313,
93131,93131,
9319,9319,
9319,9329,
93191,93191,
93192,93192,
93199,93199,
93199,93291,
932,842,
932,931,
932,932,
9321,9321,
9321,9329,
93211,93211,
93211,93291,
9329,8425,
9329,9311,
9329,9312,
9329,9319,
9329,9329,
93291,93291,
93299,84251,
93299,93111,
93299,93121,
93299,93199,
93299,93291,
94,94,
941,941,
9411,9411,
94111,94111,
94119,94119,
9412,9412,
94121,94121,
94129,94129,
942,942,
9420,9420,
94201,94201,
949,949,
9491,9491,
94911,94911,
94919,94919,
9492,9492,
94921,94921,
94929,94929,
9499,9499,
94991,94991,
94992,94992,
94993,94993,
94994,94994,
94995,94995,
94996,94996,
94997,94997,
94999,94999,
95,95,
951,951,
9511,9510,
95111,95101,
9512,9510,
95121,95102,
952,952,
9521,9521,
95211,95211,
9522,9522,
95221,95221,
9523,9523,
95231,95231,
9524,9524,
95241,95241,
9525,9525,
95251,95251,
9529,9529,
95291,95291,
96,23,
96,53,
96,96,
960,231,
960,532,
960,961,
960,962,
960,963,
960,969,
9601,5320,
9601,9610,
9601,9691,
96011,53201,
96011,96101,
96011,96911,
9602,9621,
9602,9622,
96021,96211,
96021,96221,
96021,96222,
96021,96223,
96021,96224,
96021,96229,
9603,9630,
96031,96301,
96032,96302,
9604,9623,
96041,96231,
96041,96232,
9609,2315,
9609,9699,
96091,96991,
96099,23159,
96099,96999,
97,97,
970,970,
9700,9700,
97001,97001,
98,98,
981,981,
9810,9810,
98101,98101,
982,982,
9820,9820,
98201,98201,
99,99,
990,990,
9900,9900,
99001,99001,
NULL,4689,
NULL,46891,
